Cluster,StoreNumber,StoreName,City,Zip,State,Grade,StoreFormat,Climate,Region,Latitude,Longitude,TotalDemandAmt,TotalNetAmt
4,1821,ALPHARETTA GA AVALON  ,ALPHARETTA,30009,GA,B2,LIFESTYLE CENTER,WARM,EAST COAST-SOUTHEAST DISTRICT,34.0709773,-84.2769734,23852917.68,14421774.2
4,1823,"JACKSONVILLE, FL  ",JACKSONVILLE,32246,FL,C2,LIFESTYLE CENTER,HOT,EAST COAST-SOUTHEAST DISTRICT,30.2537691,-81.5260852,6720691.33,4112541.44
4,1858,"METAIRIE, LA  ",METAIRIE,70002,LA,B2,TRADITIONAL MALL,MILD,EAST COAST-SOUTHEAST DISTRICT,30.006398,-90.1572976,5370613.09,3396211.36
4,1862,"CHARLESTON, SC  ",CHARLESTON,29403,SC,F,METRO,MILD,EAST COAST-SOUTHEAST DISTRICT,32.7897082,-79.9387041,7222231.54,4252168.73
4,1883,"SANTA ROSA BEACH, FL  ",SANTA ROSA BEACH,32459,FL,F,UNKNOWN,,EAST COAST-SOUTHEAST DISTRICT,30.3121528,-86.098925,1323578.45,890418.83
4,832,"AUSTIN LAMAR BLVD, TX  ",AUSTIN,78703,TX,F,METRO,HOT,CENTRAL-TEXAS,30.2712053,-97.7544452,23798553.95,13740441.71
4,835,SCOTTSDALE AZ FASHION  ,SCOTTSDALE,85251,AZ,F,TRADITIONAL MALL,HOT,CENTRAL-MOUNTAIN DISTRICT,33.5041443,-111.9291418,21653888.04,12644098.02
4,6015,FP MOV ATLANTA  ,ATLANTA,30326,GA,UNKNOWN,UNKNOWN,,EAST COAST-MVMT - EAST COAST,33.8528035,-84.3622556,28356431.89,16732614.67
4,6020,FP MOV HOUSTON TX  ,HOUSTON,77056,TX,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,29.737703,-95.4644579,14671202.21,8924958.15
4,6022,FP MOV JACKSONVILLE  ,JACKSONVILLE,33246,FL,UNKNOWN,UNKNOWN,,EAST COAST-MVMT - EAST COAST,30.2563335,-81.5249277,6703738.33,4100499.9
4,6017,FP MOV SCOTTSDALE AZ  ,SCOTTSDALE,85254,AZ,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,33.6246184,-111.9303998,18317060.87,10656769.36
4,812,AUSTIN TX  THE DOMAIN  ,AUSTIN,78758,TX,A1,LIFESTYLE CENTER,HOT,CENTRAL-TEXAS,30.4038195,-97.7219177,24269391.95,13976723.08
4,824,SAN ANTONIO TX CNTERA  ,SAN ANTONIO,78256,TX,F,LIFESTYLE CENTER,HOT,CENTRAL-TEXAS,29.5915628,-98.614716,6564010.24,4222377.12
4,840,HOUSTON TX CITYCENTRE  ,HOUSTON,77024,TX,F,LIFESTYLE CENTER,HOT,CENTRAL-TEXAS,29.7810228,-95.5592668,16625699.91,10075246.06
4,844,SCOTTSDALE QUARTER  ,SCOTTSDALE,85254,AZ,F,LIFESTYLE CENTER,HOT,CENTRAL-MOUNTAIN DISTRICT,33.6237681,-111.9240234,18278943.82,10631791.4
4,845,HOUSTON GALLERIA IV  ,HOUSTON,77056,TX,F,TRADITIONAL MALL,HOT,CENTRAL-TEXAS,29.7376256,-95.4643947,14663210.41,8923890.55
4,850,"ATLANTA, GA  LENOX SQ  ",ATLANTA,30326,GA,F,TRADITIONAL MALL,MILD,EAST COAST-SOUTHEAST DISTRICT,33.8467226,-84.3637487,28100373.36,16580355.56
4,1812,CHANDLER AZ  FASHION  ,CHANDLER,85226,AZ,B2,TRADITIONAL MALL,HOT,CENTRAL-MOUNTAIN DISTRICT,33.3014704,-111.8984059,16455006.07,9809373.09
4,6009,FP MOV AUSTIN TX  ,AUSTIN,78758,TX,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,30.4026156,-97.724888,24329888.81,14012002.66
4,6019,FP MOV AUSTIN TX2420  ,AUSTIN,78705,TX,UNKNOWN,UNKNOWN,,WEST COAST-MVMT - WEST COAST,30.2883677,-97.7416969,24130411.98,13899163.62
4,6030,FP MOV CHARLESTON SC  ,CHARLESTON,29403,SC,UNKNOWN,UNKNOWN,,EAST COAST-MVMT - EAST COAST,32.7879372,-79.9373052,7214169.94,4246617.23
4,851,DURHAM STS SOUTHPOINT  ,DURHAM,27713,NC,F,LIFESTYLE CENTER,MILD,EAST COAST-MID-ATLANTIC DISTRICT,35.9044409,-78.9416098,9279604.58,5628263.75
4,867,NEW ORLEANS  MAGAZINE  ,NEW ORLEANS,70115,LA,F,METRO,MILD,EAST COAST-SOUTHEAST DISTRICT,29.9209753,-90.0963512,5356815.63,3388184.78
4,868,ATLANTA WHITE PROVIS.  ,ATLANTA,30318,GA,F,LIFESTYLE CENTER,MILD,EAST COAST-SOUTHEAST DISTRICT,33.7858541,-84.4123067,24521905.56,14496124.86
4,1805,"SAVANNAH, GA  ",SAVANNAH,31401,GA,F,METRO,MILD,EAST COAST-SOUTHEAST DISTRICT,32.0794476,-81.0949317,2420330.06,1600663.77